"Notes"	"County"	"County Code"	"Year"	"Year Code"	Avg Daily Max Air Temperature (F)
	"Calhoun County, AL"	"01015"	"2008"	"2008"	72.10
	"Calhoun County, AL"	"01015"	"2009"	"2009"	73.12
	"Calhoun County, AL"	"01015"	"2010"	"2010"	70.69
	"Calhoun County, AL"	"01015"	"2011"	"2011"	74.33
"Total"	"Calhoun County, AL"	"01015"			73.16
	"Chambers County, AL"	"01017"	"2006"	"2006"	74.01
	"Chambers County, AL"	"01017"	"2007"	"2007"	75.84
	"Chambers County, AL"	"01017"	"2008"	"2008"	72.72
	"Chambers County, AL"	"01017"	"2009"	"2009"	73.89
	"Chambers County, AL"	"01017"	"2010"	"2010"	72.23
	"Chambers County, AL"	"01017"	"2011"	"2011"	76.02
"Total"	"Chambers County, AL"	"01017"			74.12
	"Cherokee County, AL"	"01019"	"2006"	"2006"	72.23
	"Cherokee County, AL"	"01019"	"2007"	"2007"	74.56
	"Cherokee County, AL"	"01019"	"2008"	"2008"	71.32
	"Cherokee County, AL"	"01019"	"2009"	"2009"	72.11
	"Cherokee County, AL"	"01019"	"2010"	"2010"	70.18
	"Cherokee County, AL"	"01019"	"2011"	"2011"	73.50
"Total"	"Cherokee County, AL"	"01019"			72.32
	"Chilton County, AL"	"01021"	"2006"	"2006"	74.65
	"Chilton County, AL"	"01021"	"2007"	"2007"	76.69
	"Chilton County, AL"	"01021"	"2008"	"2008"	73.37
	"Chilton County, AL"	"01021"	"2009"	"2009"	74.88
	"Chilton County, AL"	"01021"	"2010"	"2010"	72.76
	"Chilton County, AL"	"01021"	"2011"	"2011"	76.50
"Total"	"Chilton County, AL"	"01021"			74.81
	"Choctaw County, AL"	"01023"	"2006"	"2006"	77.45
	"Choctaw County, AL"	"01023"	"2007"	"2007"	78.24
	"Choctaw County, AL"	"01023"	"2008"	"2008"	75.74
	"Choctaw County, AL"	"01023"	"2009"	"2009"	77.61
	"Choctaw County, AL"	"01023"	"2010"	"2010"	75.58
	"Choctaw County, AL"	"01023"	"2011"	"2011"	79.46
"Total"	"Choctaw County, AL"	"01023"			77.35
	"Clarke County, AL"	"01025"	"2006"	"2006"	78.12
	"Clarke County, AL"	"01025"	"2007"	"2007"	78.55
	"Clarke County, AL"	"01025"	"2008"	"2008"	76.22
	"Clarke County, AL"	"01025"	"2009"	"2009"	78.01
	"Clarke County, AL"	"01025"	"2010"	"2010"	76.46
	"Clarke County, AL"	"01025"	"2011"	"2011"	80.41
"Total"	"Clarke County, AL"	"01025"			77.96
	"Clay County, AL"	"01027"	"2006"	"2006"	72.43
	"Clay County, AL"	"01027"	"2007"	"2007"	74.84
	"Clay County, AL"	"01027"	"2008"	"2008"	71.25
	"Clay County, AL"	"01027"	"2009"	"2009"	72.52
	"Clay County, AL"	"01027"	"2010"	"2010"	70.25
	"Clay County, AL"	"01027"	"2011"	"2011"	73.85
"Total"	"Clay County, AL"	"01027"			72.52
	"Cleburne County, AL"	"01029"	"2006"	"2006"	72.04
	"Cleburne County, AL"	"01029"	"2007"	"2007"	74.51
	"Cleburne County, AL"	"01029"	"2008"	"2008"	71.00
	"Cleburne County, AL"	"01029"	"2009"	"2009"	72.04
	"Cleburne County, AL"	"01029"	"2010"	"2010"	69.71
	"Cleburne County, AL"	"01029"	"2011"	"2011"	73.50
"Total"	"Cleburne County, AL"	"01029"			72.13
	"Coffee County, AL"	"01031"	"2006"	"2006"	77.46
	"Coffee County, AL"	"01031"	"2007"	"2007"	77.70
	"Coffee County, AL"	"01031"	"2008"	"2008"	74.82
	"Coffee County, AL"	"01031"	"2009"	"2009"	76.68
	"Coffee County, AL"	"01031"	"2010"	"2010"	75.29
	"Coffee County, AL"	"01031"	"2011"	"2011"	79.33
"Total"	"Coffee County, AL"	"01031"			76.88
	"Colbert County, AL"	"01033"	"2006"	"2006"	72.55
	"Colbert County, AL"	"01033"	"2007"	"2007"	74.37
	"Colbert County, AL"	"01033"	"2008"	"2008"	70.96
	"Colbert County, AL"	"01033"	"2009"	"2009"	72.26
	"Colbert County, AL"	"01033"	"2010"	"2010"	70.37
	"Colbert County, AL"	"01033"	"2011"	"2011"	73.11
"Total"	"Colbert County, AL"	"01033"			72.27
	"Conecuh County, AL"	"01035"	"2006"	"2006"	77.52
	"Conecuh County, AL"	"01035"	"2007"	"2007"	77.95
	"Conecuh County, AL"	"01035"	"2008"	"2008"	75.19
	"Conecuh County, AL"	"01035"	"2009"	"2009"	76.95
	"Conecuh County, AL"	"01035"	"2010"	"2010"	75.24
	"Conecuh County, AL"	"01035"	"2011"	"2011"	79.47
"Total"	"Conecuh County, AL"	"01035"			77.05
	"Coosa County, AL"	"01037"	"2006"	"2006"	74.27
	"Coosa County, AL"	"01037"	"2007"	"2007"	76.41
	"Coosa County, AL"	"01037"	"2008"	"2008"	72.88
	"Coosa County, AL"	"01037"	"2009"	"2009"	74.25
	"Coosa County, AL"	"01037"	"2010"	"2010"	72.26
	"Coosa County, AL"	"01037"	"2011"	"2011"	75.98
"Total"	"Coosa County, AL"	"01037"			74.34
	"Covington County, AL"	"01039"	"2006"	"2006"	77.90
	"Covington County, AL"	"01039"	"2007"	"2007"	78.14
	"Covington County, AL"	"01039"	"2008"	"2008"	74.99
	"Covington County, AL"	"01039"	"2009"	"2009"	76.92
	"Covington County, AL"	"01039"	"2010"	"2010"	75.41
	"Covington County, AL"	"01039"	"2011"	"2011"	79.88
"Total"	"Covington County, AL"	"01039"			77.21
	"Crenshaw County, AL"	"01041"	"2006"	"2006"	76.69
	"Crenshaw County, AL"	"01041"	"2007"	"2007"	77.45
	"Crenshaw County, AL"	"01041"	"2008"	"2008"	74.26
	"Crenshaw County, AL"	"01041"	"2009"	"2009"	76.05
	"Crenshaw County, AL"	"01041"	"2010"	"2010"	74.56
	"Crenshaw County, AL"	"01041"	"2011"	"2011"	78.62
"Total"	"Crenshaw County, AL"	"01041"			76.27
	"Cullman County, AL"	"01043"	"2006"	"2006"	72.63
	"Cullman County, AL"	"01043"	"2007"	"2007"	74.81
	"Cullman County, AL"	"01043"	"2008"	"2008"	71.70
	"Cullman County, AL"	"01043"	"2009"	"2009"	72.51
	"Cullman County, AL"	"01043"	"2010"	"2010"	70.40
	"Cullman County, AL"	"01043"	"2011"	"2011"	73.21
"Total"	"Cullman County, AL"	"01043"			72.54
	"Dale County, AL"	"01045"	"2006"	"2006"	77.59
	"Dale County, AL"	"01045"	"2007"	"2007"	77.89
	"Dale County, AL"	"01045"	"2008"	"2008"	75.30
	"Dale County, AL"	"01045"	"2009"	"2009"	77.10
	"Dale County, AL"	"01045"	"2010"	"2010"	75.63
	"Dale County, AL"	"01045"	"2011"	"2011"	79.50
"Total"	"Dale County, AL"	"01045"			77.17
	"Dallas County, AL"	"01047"	"2006"	"2006"	76.89
	"Dallas County, AL"	"01047"	"2007"	"2007"	78.52
	"Dallas County, AL"	"01047"	"2008"	"2008"	75.41
	"Dallas County, AL"	"01047"	"2009"	"2009"	77.07
	"Dallas County, AL"	"01047"	"2010"	"2010"	75.11
	"Dallas County, AL"	"01047"	"2011"	"2011"	79.07
"Total"	"Dallas County, AL"	"01047"			77.01
	"DeKalb County, AL"	"01049"	"2006"	"2006"	70.12
	"DeKalb County, AL"	"01049"	"2007"	"2007"	72.31
	"DeKalb County, AL"	"01049"	"2008"	"2008"	69.21
	"DeKalb County, AL"	"01049"	"2009"	"2009"	69.94
	"DeKalb County, AL"	"01049"	"2010"	"2010"	68.17
	"DeKalb County, AL"	"01049"	"2011"	"2011"	70.71
"Total"	"DeKalb County, AL"	"01049"			70.08
	"Elmore County, AL"	"01051"	"2006"	"2006"	75.80
	"Elmore County, AL"	"01051"	"2007"	"2007"	77.53
	"Elmore County, AL"	"01051"	"2008"	"2008"	74.23
	"Elmore County, AL"	"01051"	"2009"	"2009"	75.58
	"Elmore County, AL"	"01051"	"2010"	"2010"	73.94
	"Elmore County, AL"	"01051"	"2011"	"2011"	77.77
"Total"	"Elmore County, AL"	"01051"			75.81
	"Escambia County, AL"	"01053"	"2006"	"2006"	78.17
	"Escambia County, AL"	"01053"	"2007"	"2007"	78.20
	"Escambia County, AL"	"01053"	"2008"	"2008"	75.72
	"Escambia County, AL"	"01053"	"2009"	"2009"	77.40
	"Escambia County, AL"	"01053"	"2010"	"2010"	75.56
	"Escambia County, AL"	"01053"	"2011"	"2011"	79.69
"Total"	"Escambia County, AL"	"01053"			77.46
	"Etowah County, AL"	"01055"	"2006"	"2006"	72.67
	"Etowah County, AL"	"01055"	"2007"	"2007"	75.00
	"Etowah County, AL"	"01055"	"2008"	"2008"	71.83
	"Etowah County, AL"	"01055"	"2009"	"2009"	72.61
	"Etowah County, AL"	"01055"	"2010"	"2010"	70.44
	"Etowah County, AL"	"01055"	"2011"	"2011"	73.50
"Total"	"Etowah County, AL"	"01055"			72.67
	"Fayette County, AL"	"01057"	"2006"	"2006"	74.25
	"Fayette County, AL"	"01057"	"2007"	"2007"	75.98
	"Fayette County, AL"	"01057"	"2008"	"2008"	72.99
	"Fayette County, AL"	"01057"	"2009"	"2009"	74.05
	"Fayette County, AL"	"01057"	"2010"	"2010"	72.03
	"Fayette County, AL"	"01057"	"2011"	"2011"	75.58
"Total"	"Fayette County, AL"	"01057"			74.15
	"Franklin County, AL"	"01059"	"2006"	"2006"	72.33
	"Franklin County, AL"	"01059"	"2007"	"2007"	74.10
	"Franklin County, AL"	"01059"	"2008"	"2008"	71.00
	"Franklin County, AL"	"01059"	"2009"	"2009"	72.16
	"Franklin County, AL"	"01059"	"2010"	"2010"	70.34
	"Franklin County, AL"	"01059"	"2011"	"2011"	73.22
"Total"	"Franklin County, AL"	"01059"			72.19
	"Geneva County, AL"	"01061"	"2006"	"2006"	78.47
	"Geneva County, AL"	"01061"	"2007"	"2007"	78.64
	"Geneva County, AL"	"01061"	"2008"	"2008"	75.87
	"Geneva County, AL"	"01061"	"2009"	"2009"	77.88
	"Geneva County, AL"	"01061"	"2010"	"2010"	76.53
	"Geneva County, AL"	"01061"	"2011"	"2011"	80.65
"Total"	"Geneva County, AL"	"01061"			78.00
	"Greene County, AL"	"01063"	"2006"	"2006"	76.42
	"Greene County, AL"	"01063"	"2007"	"2007"	78.02
	"Greene County, AL"	"01063"	"2008"	"2008"	74.91
	"Greene County, AL"	"01063"	"2009"	"2009"	76.63
	"Greene County, AL"	"01063"	"2010"	"2010"	74.41
	"Greene County, AL"	"01063"	"2011"	"2011"	78.17
"Total"	"Greene County, AL"	"01063"			76.43
	"Hale County, AL"	"01065"	"2006"	"2006"	76.46
	"Hale County, AL"	"01065"	"2007"	"2007"	78.03
	"Hale County, AL"	"01065"	"2008"	"2008"	74.95
	"Hale County, AL"	"01065"	"2009"	"2009"	76.64
	"Hale County, AL"	"01065"	"2010"	"2010"	74.36
	"Hale County, AL"	"01065"	"2011"	"2011"	78.32
"Total"	"Hale County, AL"	"01065"			76.46
	"Henry County, AL"	"01067"	"2006"	"2006"	77.31
	"Henry County, AL"	"01067"	"2007"	"2007"	78.03
	"Henry County, AL"	"01067"	"2008"	"2008"	75.19
	"Henry County, AL"	"01067"	"2009"	"2009"	76.95
	"Henry County, AL"	"01067"	"2010"	"2010"	75.39
	"Henry County, AL"	"01067"	"2011"	"2011"	79.37
"Total"	"Henry County, AL"	"01067"			77.04
	"Houston County, AL"	"01069"	"2006"	"2006"	78.50
	"Houston County, AL"	"01069"	"2007"	"2007"	79.02
	"Houston County, AL"	"01069"	"2008"	"2008"	76.23
	"Houston County, AL"	"01069"	"2009"	"2009"	78.12
	"Houston County, AL"	"01069"	"2010"	"2010"	76.56
	"Houston County, AL"	"01069"	"2011"	"2011"	80.55
"Total"	"Houston County, AL"	"01069"			78.16
	"Jackson County, AL"	"01071"	"2006"	"2006"	70.55
	"Jackson County, AL"	"01071"	"2007"	"2007"	72.78
	"Jackson County, AL"	"01071"	"2008"	"2008"	69.67
	"Jackson County, AL"	"01071"	"2009"	"2009"	70.37
	"Jackson County, AL"	"01071"	"2010"	"2010"	68.48
	"Jackson County, AL"	"01071"	"2011"	"2011"	70.75
"Total"	"Jackson County, AL"	"01071"			70.43
	"Jefferson County, AL"	"01073"	"2006"	"2006"	74.02
	"Jefferson County, AL"	"01073"	"2007"	"2007"	76.30
	"Jefferson County, AL"	"01073"	"2008"	"2008"	72.87
	"Jefferson County, AL"	"01073"	"2009"	"2009"	74.12
	"Jefferson County, AL"	"01073"	"2010"	"2010"	71.59
	"Jefferson County, AL"	"01073"	"2011"	"2011"	75.13
"Total"	"Jefferson County, AL"	"01073"			74.01
	"Lamar County, AL"	"01075"	"2006"	"2006"	74.59
	"Lamar County, AL"	"01075"	"2007"	"2007"	76.20
	"Lamar County, AL"	"01075"	"2008"	"2008"	73.21
	"Lamar County, AL"	"01075"	"2009"	"2009"	74.38
	"Lamar County, AL"	"01075"	"2010"	"2010"	72.93
	"Lamar County, AL"	"01075"	"2011"	"2011"	76.53
"Total"	"Lamar County, AL"	"01075"			74.64
	"Lauderdale County, AL"	"01077"	"2006"	"2006"	72.05
	"Lauderdale County, AL"	"01077"	"2007"	"2007"	73.93
	"Lauderdale County, AL"	"01077"	"2008"	"2008"	70.37
	"Lauderdale County, AL"	"01077"	"2009"	"2009"	71.68
	"Lauderdale County, AL"	"01077"	"2010"	"2010"	69.73
	"Lauderdale County, AL"	"01077"	"2011"	"2011"	72.31
"Total"	"Lauderdale County, AL"	"01077"			71.68
	"Lawrence County, AL"	"01079"	"2006"	"2006"	72.39
	"Lawrence County, AL"	"01079"	"2007"	"2007"	74.37
	"Lawrence County, AL"	"01079"	"2008"	"2008"	71.27
	"Lawrence County, AL"	"01079"	"2009"	"2009"	72.13
	"Lawrence County, AL"	"01079"	"2010"	"2010"	70.18
	"Lawrence County, AL"	"01079"	"2011"	"2011"	72.65
"Total"	"Lawrence County, AL"	"01079"			72.16
	"Lee County, AL"	"01081"	"2006"	"2006"	75.01
	"Lee County, AL"	"01081"	"2007"	"2007"	76.58
	"Lee County, AL"	"01081"	"2008"	"2008"	73.58
	"Lee County, AL"	"01081"	"2009"	"2009"	74.70
	"Lee County, AL"	"01081"	"2010"	"2010"	73.32
	"Lee County, AL"	"01081"	"2011"	"2011"	77.08
"Total"	"Lee County, AL"	"01081"			75.05
	"Limestone County, AL"	"01083"	"2006"	"2006"	71.90
	"Limestone County, AL"	"01083"	"2007"	"2007"	74.05
	"Limestone County, AL"	"01083"	"2008"	"2008"	70.88
	"Limestone County, AL"	"01083"	"2009"	"2009"	71.68
	"Limestone County, AL"	"01083"	"2010"	"2010"	69.72
	"Limestone County, AL"	"01083"	"2011"	"2011"	72.03
"Total"	"Limestone County, AL"	"01083"			71.71
	"Lowndes County, AL"	"01085"	"2006"	"2006"	76.88
	"Lowndes County, AL"	"01085"	"2007"	"2007"	78.26
	"Lowndes County, AL"	"01085"	"2008"	"2008"	75.16
	"Lowndes County, AL"	"01085"	"2009"	"2009"	76.72
	"Lowndes County, AL"	"01085"	"2010"	"2010"	74.93
	"Lowndes County, AL"	"01085"	"2011"	"2011"	78.76
"Total"	"Lowndes County, AL"	"01085"			76.79
	"Macon County, AL"	"01087"	"2006"	"2006"	76.41
	"Macon County, AL"	"01087"	"2007"	"2007"	77.90
	"Macon County, AL"	"01087"	"2008"	"2008"	74.82
	"Macon County, AL"	"01087"	"2009"	"2009"	76.12
	"Macon County, AL"	"01087"	"2010"	"2010"	74.59
	"Macon County, AL"	"01087"	"2011"	"2011"	78.43
"Total"	"Macon County, AL"	"01087"			76.38
	"Madison County, AL"	"01089"	"2006"	"2006"	71.40
	"Madison County, AL"	"01089"	"2007"	"2007"	73.54
	"Madison County, AL"	"01089"	"2008"	"2008"	70.53
	"Madison County, AL"	"01089"	"2009"	"2009"	71.16
	"Madison County, AL"	"01089"	"2010"	"2010"	69.27
	"Madison County, AL"	"01089"	"2011"	"2011"	71.48
"Total"	"Madison County, AL"	"01089"			71.23
	"Marengo County, AL"	"01091"	"2006"	"2006"	77.22
	"Marengo County, AL"	"01091"	"2007"	"2007"	78.37
	"Marengo County, AL"	"01091"	"2008"	"2008"	75.57
	"Marengo County, AL"	"01091"	"2009"	"2009"	77.38
	"Marengo County, AL"	"01091"	"2010"	"2010"	75.33
	"Marengo County, AL"	"01091"	"2011"	"2011"	79.28
"Total"	"Marengo County, AL"	"01091"			77.19
	"Marion County, AL"	"01093"	"2006"	"2006"	73.08
	"Marion County, AL"	"01093"	"2007"	"2007"	74.80
	"Marion County, AL"	"01093"	"2008"	"2008"	71.82
	"Marion County, AL"	"01093"	"2009"	"2009"	72.98
	"Marion County, AL"	"01093"	"2010"	"2010"	71.23
	"Marion County, AL"	"01093"	"2011"	"2011"	74.47
"Total"	"Marion County, AL"	"01093"			73.06
	"Marshall County, AL"	"01095"	"2006"	"2006"	71.71
	"Marshall County, AL"	"01095"	"2007"	"2007"	73.84
	"Marshall County, AL"	"01095"	"2008"	"2008"	70.88
	"Marshall County, AL"	"01095"	"2009"	"2009"	71.51
	"Marshall County, AL"	"01095"	"2010"	"2010"	69.55
	"Marshall County, AL"	"01095"	"2011"	"2011"	72.07
"Total"	"Marshall County, AL"	"01095"			71.59
	"Mobile County, AL"	"01097"	"2006"	"2006"	78.60
	"Mobile County, AL"	"01097"	"2007"	"2007"	78.02
	"Mobile County, AL"	"01097"	"2008"	"2008"	76.12
	"Mobile County, AL"	"01097"	"2009"	"2009"	77.68
	"Mobile County, AL"	"01097"	"2010"	"2010"	75.81
	"Mobile County, AL"	"01097"	"2011"	"2011"	79.27
"Total"	"Mobile County, AL"	"01097"			77.58
	"Monroe County, AL"	"01099"	"2006"	"2006"	77.74
	"Monroe County, AL"	"01099"	"2007"	"2007"	78.33
	"Monroe County, AL"	"01099"	"2008"	"2008"	75.83
	"Monroe County, AL"	"01099"	"2009"	"2009"	77.56
	"Monroe County, AL"	"01099"	"2010"	"2010"	75.85
	"Monroe County, AL"	"01099"	"2011"	"2011"	79.93
"Total"	"Monroe County, AL"	"01099"			77.54
	"Montgomery County, AL"	"01101"	"2006"	"2006"	76.69
	"Montgomery County, AL"	"01101"	"2007"	"2007"	77.88
	"Montgomery County, AL"	"01101"	"2008"	"2008"	74.80
	"Montgomery County, AL"	"01101"	"2009"	"2009"	76.32
	"Montgomery County, AL"	"01101"	"2010"	"2010"	74.67
	"Montgomery County, AL"	"01101"	"2011"	"2011"	78.49
"Total"	"Montgomery County, AL"	"01101"			76.48
	"Morgan County, AL"	"01103"	"2006"	"2006"	72.44
	"Morgan County, AL"	"01103"	"2007"	"2007"	74.52
	"Morgan County, AL"	"01103"	"2008"	"2008"	71.54
	"Morgan County, AL"	"01103"	"2009"	"2009"	72.18
	"Morgan County, AL"	"01103"	"2010"	"2010"	70.17
	"Morgan County, AL"	"01103"	"2011"	"2011"	72.57
"Total"	"Morgan County, AL"	"01103"			72.24
	"Perry County, AL"	"01105"	"2006"	"2006"	76.13
	"Perry County, AL"	"01105"	"2007"	"2007"	77.92
	"Perry County, AL"	"01105"	"2008"	"2008"	74.75
	"Perry County, AL"	"01105"	"2009"	"2009"	76.48
	"Perry County, AL"	"01105"	"2010"	"2010"	74.42
	"Perry County, AL"	"01105"	"2011"	"2011"	78.37
"Total"	"Perry County, AL"	"01105"			76.34
	"Pickens County, AL"	"01107"	"2006"	"2006"	75.55
	"Pickens County, AL"	"01107"	"2007"	"2007"	77.25
	"Pickens County, AL"	"01107"	"2008"	"2008"	74.14
	"Pickens County, AL"	"01107"	"2009"	"2009"	75.61
	"Pickens County, AL"	"01107"	"2010"	"2010"	73.82
	"Pickens County, AL"	"01107"	"2011"	"2011"	77.53
"Total"	"Pickens County, AL"	"01107"			75.65
	"Pike County, AL"	"01109"	"2006"	"2006"	76.59
	"Pike County, AL"	"01109"	"2007"	"2007"	77.22
	"Pike County, AL"	"01109"	"2008"	"2008"	74.41
	"Pike County, AL"	"01109"	"2009"	"2009"	76.16
	"Pike County, AL"	"01109"	"2010"	"2010"	74.65
	"Pike County, AL"	"01109"	"2011"	"2011"	78.43
"Total"	"Pike County, AL"	"01109"			76.24
	"Randolph County, AL"	"01111"	"2006"	"2006"	72.95
	"Randolph County, AL"	"01111"	"2007"	"2007"	75.13
	"Randolph County, AL"	"01111"	"2008"	"2008"	71.78
	"Randolph County, AL"	"01111"	"2009"	"2009"	72.98
	"Randolph County, AL"	"01111"	"2010"	"2010"	70.92
	"Randolph County, AL"	"01111"	"2011"	"2011"	74.69
"Total"	"Randolph County, AL"	"01111"			73.07
	"Russell County, AL"	"01113"	"2006"	"2006"	76.42
	"Russell County, AL"	"01113"	"2007"	"2007"	77.83
	"Russell County, AL"	"01113"	"2008"	"2008"	74.79
	"Russell County, AL"	"01113"	"2009"	"2009"	76.08
	"Russell County, AL"	"01113"	"2010"	"2010"	74.67
	"Russell County, AL"	"01113"	"2011"	"2011"	78.50
"Total"	"Russell County, AL"	"01113"			76.38
	"St. Clair County, AL"	"01115"	"2006"	"2006"	73.03
	"St. Clair County, AL"	"01115"	"2007"	"2007"	75.53
	"St. Clair County, AL"	"01115"	"2008"	"2008"	72.10
	"St. Clair County, AL"	"01115"	"2009"	"2009"	73.19
	"St. Clair County, AL"	"01115"	"2010"	"2010"	70.80
	"St. Clair County, AL"	"01115"	"2011"	"2011"	74.15
"Total"	"St. Clair County, AL"	"01115"			73.13
	"Shelby County, AL"	"01117"	"2006"	"2006"	74.01
	"Shelby County, AL"	"01117"	"2007"	"2007"	76.45
	"Shelby County, AL"	"01117"	"2008"	"2008"	72.90
	"Shelby County, AL"	"01117"	"2009"	"2009"	74.35
	"Shelby County, AL"	"01117"	"2010"	"2010"	71.79
	"Shelby County, AL"	"01117"	"2011"	"2011"	75.36
"Total"	"Shelby County, AL"	"01117"			74.14
	"Sumter County, AL"	"01119"	"2006"	"2006"	76.67
	"Sumter County, AL"	"01119"	"2007"	"2007"	78.09
	"Sumter County, AL"	"01119"	"2008"	"2008"	75.04
	"Sumter County, AL"	"01119"	"2009"	"2009"	76.88
	"Sumter County, AL"	"01119"	"2010"	"2010"	74.63
	"Sumter County, AL"	"01119"	"2011"	"2011"	78.20
"Total"	"Sumter County, AL"	"01119"			76.58
	"Talladega County, AL"	"01121"	"2006"	"2006"	73.82
	"Talladega County, AL"	"01121"	"2007"	"2007"	76.42
	"Talladega County, AL"	"01121"	"2008"	"2008"	72.70
	"Talladega County, AL"	"01121"	"2009"	"2009"	74.02
	"Talladega County, AL"	"01121"	"2010"	"2010"	71.49
	"Talladega County, AL"	"01121"	"2011"	"2011"	75.03
"Total"	"Talladega County, AL"	"01121"			73.91
	"Tallapoosa County, AL"	"01123"	"2006"	"2006"	74.45
	"Tallapoosa County, AL"	"01123"	"2007"	"2007"	76.45
	"Tallapoosa County, AL"	"01123"	"2008"	"2008"	73.15
	"Tallapoosa County, AL"	"01123"	"2009"	"2009"	74.35
	"Tallapoosa County, AL"	"01123"	"2010"	"2010"	72.65
	"Tallapoosa County, AL"	"01123"	"2011"	"2011"	76.53
"Total"	"Tallapoosa County, AL"	"01123"			74.60
	"Tuscaloosa County, AL"	"01125"	"2006"	"2006"	75.37
	"Tuscaloosa County, AL"	"01125"	"2007"	"2007"	77.28
	"Tuscaloosa County, AL"	"01125"	"2008"	"2008"	74.04
	"Tuscaloosa County, AL"	"01125"	"2009"	"2009"	75.38
	"Tuscaloosa County, AL"	"01125"	"2010"	"2010"	72.97
	"Tuscaloosa County, AL"	"01125"	"2011"	"2011"	76.66
"Total"	"Tuscaloosa County, AL"	"01125"			75.28
	"Walker County, AL"	"01127"	"2006"	"2006"	74.28
	"Walker County, AL"	"01127"	"2007"	"2007"	76.26
	"Walker County, AL"	"01127"	"2008"	"2008"	73.18
	"Walker County, AL"	"01127"	"2009"	"2009"	74.17
	"Walker County, AL"	"01127"	"2010"	"2010"	71.89
	"Walker County, AL"	"01127"	"2011"	"2011"	75.27
"Total"	"Walker County, AL"	"01127"			74.18
	"Washington County, AL"	"01129"	"2006"	"2006"	78.66
	"Washington County, AL"	"01129"	"2007"	"2007"	78.55
	"Washington County, AL"	"01129"	"2008"	"2008"	76.43
	"Washington County, AL"	"01129"	"2009"	"2009"	78.17
	"Washington County, AL"	"01129"	"2010"	"2010"	76.48
	"Washington County, AL"	"01129"	"2011"	"2011"	80.29
"Total"	"Washington County, AL"	"01129"			78.10
	"Wilcox County, AL"	"01131"	"2006"	"2006"	77.50
	"Wilcox County, AL"	"01131"	"2007"	"2007"	78.71
	"Wilcox County, AL"	"01131"	"2008"	"2008"	75.97
	"Wilcox County, AL"	"01131"	"2009"	"2009"	77.68
