Year,State,County,Population,Deaths,Death Rate per 100k
2006,FL,Santa Rosa,142983,30,20.981515285
2006,FL,Sarasota,371361,90,24.235178169
2006,FL,Seminole,413218,40,9.680120421
2006,FL,Volusia,494748,63,12.733755366
2006,FL,Walton,51145,17,33.238830775
2006,GA,Barrow,61395,10,16.287971333
2006,GA,Carroll,105853,16,15.115301409
2006,GA,Catoosa,61095,10,16.367951551
2006,GA,Chatham,246896,22,8.910634437
2006,GA,Cherokee,193241,14,7.244839346
2006,GA,Clarke,112074,10,8.922676089
2006,GA,Clayton,258552,20,7.735387852
2006,GA,Cobb,661913,58,8.76248087
2006,GA,Columbia,110845,10,9.021606748
2006,GA,DeKalb,676687,36,5.320037181
2006,GA,Douglas,119918,15,12.508547507
2006,GA,Floyd,95165,17,17.863710398
2006,GA,Forsyth,147228,13,8.82984215
2006,GA,Fulton,845181,87,10.293653075
2006,GA,Glynn,74870,15,20.03472686
2006,GA,Gwinnett,740267,42,5.673628569
2006,GA,Hall,166524,18,10.80925272
2006,GA,Henry,180304,19,10.537758452
2006,GA,Newton,90647,11,12.134985162
2006,GA,Paulding,122635,19,15.49313002
2006,GA,Richmond,196449,27,13.744025167
2006,GA,Rockdale,79911,11,13.765313912
2006,GA,Whitfield,96408,12,12.447099826
2006,ID,Ada,363498,37,10.178873061
2006,ID,Bannock,78491,10,12.740314176
2006,ID,Kootenai,129510,13,10.037834916
2006,IL,Cook,5165495,732,14.170955542
2006,IL,DuPage,908685,61,6.712997353
2006,IL,Kane,485179,23,4.740518448
2006,IL,Kankakee,109735,10,9.112862806
2006,IL,Lake,689891,55,7.972273881
2006,IL,LaSalle,113139,18,15.909633283
2006,IL,McHenry,300630,18,5.987426405
2006,IL,Madison,266164,33,12.398370929
2006,IL,Peoria,183446,19,10.35727135
2006,IL,St. Clair,263445,18,6.832545693
2006,IL,Sangamon,193317,14,7.241991134
2006,IL,Vermilion,82715,10,12.089705616
2006,IL,Will,650779,46,7.068451809
2006,IL,Winnebago,289405,41,14.166997806
2006,IN,Allen,346314,20,5.775105829
2006,IN,Clark,104148,11,10.561892691
2006,IN,Delaware,117326,19,16.194193955
2006,IN,Floyd,72358,10,13.820171923
2006,IN,Hamilton,244738,19,7.76340413
2006,IN,Henry,48375,14,28.940568475
2006,IN,Howard,83943,23,27.399544929
2006,IN,Johnson,130512,14,10.726982959
2006,IN,Lake,491432,28,5.697634668
2006,IN,La Porte,109641,12,10.944810792
2006,IN,Madison,131240,40,30.478512649
2006,IN,Marion,878515,106,12.065815609
2006,IN,Monroe,130677,19,14.539666506
2006,IN,Porter,158595,19,11.980201141
2006,IN,St. Joseph,265496,16,6.026456142
2006,IN,Tippecanoe,163010,10,6.13459297
2006,IN,Vanderburgh,176822,21,11.876350228
2006,IN,Vigo,106509,13,12.205541316
2006,IN,Wabash,33665,11,32.674884895
2006,IA,Linn,202709,13,6.413134099
2006,IA,Polk,405990,32,7.881967536
2006,IA,Scott,159597,14,8.772094714
2006,KS,Johnson,514813,30,5.827358672
2006,KS,Sedgwick,471659,71,15.053248215
2006,KS,Shawnee,172986,15,8.671221949
2006,KS,Wyandotte,153689,13,8.458640501
2006,KY,Bell,28960,11,37.983425414
2006,KY,Boone,109295,20,18.299098769
2006,KY,Campbell,88036,25,28.397473761
2006,KY,Clark,34823,11,31.588318066
2006,KY,Daviess,93908,15,15.973080036
2006,KY,Fayette,279971,39,13.93001418
2006,KY,Floyd,40429,18,44.522496228
2006,KY,Henderson,45633,10,21.91396577
2006,KY,Jefferson,715149,94,13.144114024
2006,KY,Kenton,155557,36,23.142642247
2006,KY,Knott,16837,11,65.332303855
2006,KY,Knox,31599,11,34.811228203
2006,KY,Laurel,57239,11,19.217666276
2006,KY,McCracken,64678,13,20.099570178
2006,KY,Madison,80264,10,12.458885677
2006,KY,Martin,13371,10,74.788721861
2006,KY,Perry,28829,12,41.624752853
2006,KY,Pike,65632,15,22.854705022
2006,KY,Pulaski,60752,10,16.460363445
2006,KY,Whitley,36149,12,33.19593903
2006,LA,Acadia Parish,60522,24,39.655001487
2006,LA,Beauregard Parish,34510,10,28.977108085
2006,LA,Bossier Parish,110606,12,10.849321013
2006,LA,Caddo Parish,252740,28,11.078578777
2006,LA,Calcasieu Parish,185350,56,30.213110332
2006,LA,East Baton Rouge Parish,433474,38,8.766385066
2006,LA,Jefferson Parish,426285,125,29.323105434
2006,LA,Lafayette Parish,209424,45,21.487508595
2006,LA,Lafourche Parish,94385,10,10.594903851
2006,LA,Livingston Parish,115722,26,22.46763796
2006,LA,Orleans Parish,230172,61,26.501920303
2006,LA,Ouachita Parish,151183,18,11.906100554
2006,LA,Rapides Parish,130103,12,9.223461411
2006,LA,St. Bernard Parish,16563,14,84.525750166
2006,LA,St. Charles Parish,52453,11,20.971155129
2006,LA,St. Landry Parish,85128,25,29.367540645
2006,LA,St. Tammany Parish,223133,69,30.923261015
2006,LA,Tangipahoa Parish,114102,25,21.91022068
2006,LA,Terrebonne Parish,109994,21,19.09195047
2006,LA,Vermilion Parish,56388,11,19.507696673
2006,ME,Cumberland,277084,20,7.218027746
2006,ME,Kennebec,121508,20,16.459821576
2006,ME,Penobscot,151446,28,18.488438123
2006,ME,York,197635,23,11.637614795
2006,MD,Allegany,73980,12,16.220600162
2006,MD,Anne Arundel,517698,66,12.748745408
2006,MD,Baltimore,793733,131,16.504290486
2006,MD,Carroll,166950,15,8.984725966
2006,MD,Cecil,98821,25,25.298266563
2006,MD,Frederick,224211,23,10.25819429
2006,MD,Harford,241163,40,16.586292259
2006,MD,Howard,271793,15,5.518905932
2006,MD,Montgomery,926492,42,4.533228565
2006,MD,Prince George's,852097,40,4.694301236
2006,MD,Washington,144286,17,11.782154887
2006,MD,Wicomico,94621,15,15.852717684
2006,MD,Worcester,50678,11,21.7056711
2006,MD,Baltimore city,621109,253,40.733591044
2006,MA,Barnstable,220037,32,14.543008676
2006,MA,Bristol,544487,111,20.386161653
2006,MA,Essex,729455,117,16.03937186
2006,MA,Franklin,71708,10,13.945445418
2006,MA,Hampden,461408,61,13.220403634
2006,MA,Hampshire,156168,17,10.885712822
2006,MA,Middlesex,1456528,151,10.367119616
2006,MA,Norfolk,653421,76,11.631092359
2006,MA,Plymouth,486779,68,13.969378301
2006,MA,Suffolk,687192,161,23.428677866
2006,MA,Worcester,785345,112,14.261248241
2006,MI,Bay,108711,15,13.798051715
2006,MI,Berrien,157537,23,14.599744822
2006,MI,Calhoun,138291,27,19.524047118
2006,MI,Genesee,441164,96,21.7606151
2006,MI,Ingham,282104,21,7.444063182
2006,MI,Jackson,163387,31,18.973357733
2006,MI,Kalamazoo,244178,31,12.695656447
2006,MI,Kent,595191,49,8.232651367
2006,MI,Lapeer,91691,11,11.996815391
2006,MI,Livingston,181620,21,11.562603238
2006,MI,Macomb,833328,153,18.360117505
2006,MI,Midland,83693,10,11.948430574
2006,MI,Monroe,153460,23,14.987618923
2006,MI,Muskegon,173710,18,10.362097749
2006,MI,Oakland,1202256,176,14.639145074
2006,MI,Ottawa,258003,13,5.0387011
2006,MI,Saginaw,205822,23,11.174704356
2006,MI,St. Clair,168312,24,14.259232853
2006,MI,Shiawassee,72839,10,13.728908964
2006,MI,Washtenaw,344018,52,15.115488143
2006,MI,Wayne,1932490,475,24.579687346
2006,MN,Anoka,323590,15,4.635495534
2006,MN,Dakota,386228,18,4.660459625
2006,MN,Hennepin,1119507,91,8.128578026
2006,MN,Olmsted,137293,10,7.283692541
2006,MN,Ramsey,497158,33,6.637728851
2006,MN,St. Louis,198357,12,6.049698271
2006,MN,Stearns,144256,10,6.932120674
2006,MN,Washington,225091,13,5.775441932
2006,MS,DeSoto,145220,13,8.951934995
2006,MS,Hancock,40087,20,49.891486018
2006,MS,Harrison,174449,45,25.795504703
2006,MS,Hinds,248989,17,6.827610858
2006,MS,Jackson,132717,40,30.139319002
2006,MS,Madison,87844,10,11.383816766
2006,MS,Marion,26291,10,38.035829752
2006,MS,Pearl River,55153,26,47.141587946
2006,MO,Boone,152784,19,12.435857158
2006,MO,Butler,42246,11,26.037968092
2006,MO,Franklin,99341,11,11.072970878
2006,MO,Greene,263046,48,18.247758947
2006,MO,Howell,39067,15,38.39557683
2006,MO,Jackson,660539,77,11.657146664
2006,MO,Jefferson,213105,37,17.362333122
2006,MO,St. Charles,337952,35,10.356500331
2006,MO,St. Francois,62917,19,30.198515505
2006,MO,St. Louis,1002050,96,9.580360261
2006,MO,St. Louis city,320131,69,21.553676464
2006,MT,Flathead,85759,10,11.660583729
2006,MT,Missoula,104372,11,10.53922508
2006,MT,Yellowstone,139582,16,11.462796063
2006,NE,Douglas,493757,36,7.291035874
2006,NE,Lancaster,272286,13,4.774391632
2006,NV,Clark,1803774,297,16.465477382
2006,NV,Washoe,400453,44,10.987556592
2006,NH,Cheshire,77658,10,12.876973396
2006,NH,Hillsborough,398169,43,10.799434411
2006,NH,Merrimack,146609,13,8.867122755
2006,NH,Rockingham,293618,31,10.557935821
2006,NH,Strafford,120363,15,12.462301538
2006,NJ,Atlantic,271759,42,15.45486994
2006,NJ,Bergen,889406,50,5.621729559
2006,NJ,Burlington,448373,54,12.043544103
2006,NJ,Camden,513195,143,27.864651838
2006,NJ,Cape May,98695,28,28.370231521
2006,NJ,Cumberland,153371,19,12.388261145
2006,NJ,Essex,781027,118,15.108312517
2006,NJ,Gloucester,280015,82,29.284145492
2006,NJ,Hudson,613577,52,8.474893942
2006,NJ,Mercer,362840,16,4.409657149
2006,NJ,Middlesex,786890,47,5.972880581
2006,NJ,Monmouth,626934,61,9.729891823
2006,NJ,Morris,487486,29,5.948888789
2006,NJ,Ocean,561302,40,7.126288522
2006,NJ,Passaic,492730,46,9.335741684
2006,NJ,Salem,65831,17,25.823700081
2006,NJ,Somerset,314993,22,6.98428219
2006,NJ,Sussex,150508,12,7.972998113
2006,NJ,Union,525153,32,6.093462286
2006,NJ,Warren,109059,12,11.003218441
2006,NM,Bernalillo,628632,156,24.815790478
2006,NM,Chaves,62486,18,28.806452645
2006,NM,Dona Ana,193701,29,14.971528283
2006,NM,Eddy,51366,14,27.255382938
2006,NM,Otero,62200,12,19.292604502
2006,NM,Rio Arriba,40335,19,47.105491509
2006,NM,Sandoval,114231,14,12.255867497
2006,NM,Santa Fe,138786,24,17.292810514
2006,NM,Valencia,71661,22,30.700101869
2006,NY,Albany,303997,17,5.592160449
2006,NY,Bronx,1348164,248,18.395388098
2006,NY,Dutchess,294712,23,7.804229214
2006,NY,Erie,925564,72,7.779040671
2006,NY,Kings,2436132,271,11.124191957
2006,NY,Monroe,738329,46,6.230284873
2006,NY,Nassau,1324905,125,9.43463871
2006,NY,New York,1578171,223,14.130281193
2006,NY,Niagara,216148,22,10.178211226
2006,NY,Oneida,234229,19,8.111719727
2006,NY,Onondaga,460925,29,6.291696046
2006,NY,Ontario,104644,15,14.334314438
2006,NY,Orange,366908,36,9.81172392
2006,NY,Queens,2173862,160,7.360172817
2006,NY,Richmond,457577,50,10.927122648
2006,NY,Rockland,299390,14,4.676174889
2006,NY,Suffolk,1475626,152,10.300713053
2006,NY,Sullivan,77231,15,19.422252722
2006,NY,Westchester,931426,55,5.904924277
2006,NC,Alamance,141462,10,7.069036208
2006,NC,Brunswick,93938,21,22.355170432
2006,NC,Buncombe,226524,26,11.477812506
2006,NC,Burke,89903,20,22.246198681
2006,NC,Cabarrus,157735,18,11.411544679
2006,NC,Caldwell,80897,16,19.778236523
2006,NC,Catawba,150449,20,13.293541333
2006,NC,Cleveland,96990,13,13.403443654
2006,NC,Craven,96926,15,15.475723748
2006,NC,Cumberland,307365,29,9.43503652
2006,NC,Davidson,157209,31,19.718972832
2006,NC,Durham,246929,23,9.314418315
2006,NC,Forsyth,332110,38,11.441992111
2006,NC,Gaston,196284,33,16.812373907
2006,NC,Guilford,458792,40,8.718547839
2006,NC,Haywood,57701,11,19.063794388
2006,NC,Iredell,146854,14,9.53327795
2006,NC,Lincoln,72179,11,15.239889719
2006,NC,Macon,32736,13,39.711632454
2006,NC,Mecklenburg,831507,54,6.494232761
2006,NC,Nash,92127,11,11.940039294
2006,NC,New Hanover,190791,23,12.055075973
2006,NC,Onslow,161185,17,10.546887117
2006,NC,Pitt,152934,13,8.500398865
2006,NC,Randolph,137885,17,12.329114842
2006,NC,Robeson,128894,12,9.309975639
2006,NC,Rockingham,92960,13,13.984509466
2006,NC,Rowan,134045,21,15.666380693
2006,NC,Rutherford,65855,16,24.295801382
2006,NC,Surry,72807,13,17.855425989
2006,NC,Union,172529,22,12.751479461
2006,NC,Wake,784038,46,5.867062566
2006,NC,Wilkes,68489,18,26.281592665
2006,OH,Athens,64237,11,17.124087364
2006,OH,Butler,356691,63,17.662346401
2006,OH,Clark,140668,18,12.796087241
2006,OH,Clermont,192209,33,17.168811034
2006,OH,Cuyahoga,1312816,173,13.177779674
2006,OH,Fairfield,141005,10,7.091947094
2006,OH,Franklin,1115924,167,14.96517684
2006,OH,Greene,157850,23,14.570795059
2006,OH,Hamilton,804913,112,13.914547286
2006,OH,Hardin,31939,10,31.309684085
2006,OH,Jackson,33135,14,42.251395805
2006,OH,Jefferson,70656,13,18.399003623
2006,OH,Lake,228203,29,12.707983681
2006,OH,Licking,160263,16,9.983589475
2006,OH,Lorain,297259,22,7.400953377
2006,OH,Lucas,446769,56,12.534441736
2006,OH,Mahoning,246112,30,12.189572227
2006,OH,Medina,167298,10,5.977357769
2006,OH,Montgomery,543620,133,24.465619366
2006,OH,Muskingum,86023,12,13.949757623
2006,OH,Portage,157773,13,8.239686131
2006,OH,Richland,127292,19,14.926311159
2006,OH,Ross,76639,12,15.657824345
2006,OH,Scioto,78285,22,28.10244619
2006,OH,Stark,376180,26,6.91158488
2006,OH,Summit,544660,62,11.383248265
2006,OH,Trumbull,216185,32,14.802137059
2006,OH,Warren,200630,18,8.971739022
2006,OH,Washington,62387,10,16.028980397
2006,OH,Wood,125027,10,7.998272373
2006,OK,Carter,46430,11,23.691578721
2006,OK,Cherokee,45517,15,32.954720214
2006,OK,Cleveland,237257,26,10.958580779
2006,OK,Creek,67791,19,28.027319261
2006,OK,Muskogee,69958,10,14.29429086
2006,OK,Oklahoma,690153,93,13.475272874
2006,OK,Pottawatomie,67696,16,23.63507445
2006,OK,Tulsa,575014,118,20.521239483
2006,OK,Wagoner,66345,13,19.594543673
2006,OK,Washington,49216,11,22.350455137
2006,OR,Clackamas,363508,39,10.728787262
2006,OR,Douglas,106658,14,13.126066493
2006,OR,Jackson,196858,46,23.367097095
2006,OR,Josephine,81601,12,14.705702136
2006,OR,Klamath,66294,10,15.084321356
2006,OR,Lane,339926,42,12.355630343
2006,OR,Lincoln,45529,10,21.96402293
2006,OR,Linn,110764,12,10.833844932
2006,OR,Marion,303290,34,11.210392693
2006,OR,Multnomah,683767,140,20.474810864
2006,OR,Washington,502226,25,4.977838662
2006,OR,Yamhill,93198,10,10.729843988
2006,PA,Allegheny,1226025,140,11.419016741
2006,PA,Armstrong,70030,16,22.847351135
2006,PA,Beaver,173259,20,11.543411886
2006,PA,Berks,401834,40,9.954359263
2006,PA,Blair,127002,25,19.684729374
2006,PA,Bucks,619544,105,16.947948814
2006,PA,Butler,181009,14,7.734422045
2006,PA,Cambria,146093,33,22.588351256
2006,PA,Chester,479137,36,7.513508662
2006,PA,Cumberland,226835,10,4.408490753
2006,PA,Dauphin,260312,17,6.530624789
2006,PA,Delaware,553806,107,19.320845206
2006,PA,Erie,278389,27,9.698659071
2006,PA,Fayette,141165,18,12.751036022
2006,PA,Indiana,88716,10,11.271923892
2006,PA,Lackawanna,212595,28,13.170582563
2006,PA,Lancaster,500922,30,5.988956364
2006,PA,Lawrence,92248,14,15.176480791
2006,PA,Lebanon,128302,11,8.573521847
2006,PA,Lehigh,336794,29,8.610604702
2006,PA,Luzerne,316837,45,14.202886658
2006,PA,Mercer,118123,14,11.852052522
2006,PA,Monroe,165185,21,12.713018737
2006,PA,Montgomery,781519,117,14.970845239
2006,PA,Northampton,289628,24,8.286491638
2006,PA,Philadelphia,1488710,445,29.891651161
2006,PA,Schuylkill,148005,26,17.566974089
2006,PA,Venango,55761,13,23.313785621
2006,PA,Washington,205992,22,10.680026409
2006,PA,Westmoreland,366559,48,13.094754187
2006,PA,York,418043,36,8.611554314
2006,RI,Kent,168522,23,13.648069688
2006,RI,Newport,85130,11,12.921414308
2006,RI,Providence,631691,114,18.046798197
2006,RI,Washington,126757,10,7.889110661
2006,SC,Aiken,152577,30,19.662203347
2006,SC,Anderson,178579,27,15.119358939
2006,SC,Beaufort,147213,11,7.472166181
2006,SC,Berkeley,159501,15,9.404329753
2006,SC,Charleston,334826,35,10.453190612
2006,SC,Cherokee,54166,10,18.461765683
2006,SC,Darlington,68424,11,16.076230562
2006,SC,Florence,132489,20,15.095592842
2006,SC,Greenville,415957,71,17.069072044
2006,SC,Horry,242194,38,15.689901484
2006,SC,Lancaster,66992,10,14.927155481
2006,SC,Lexington,241219,33,13.680514387
2006,SC,Oconee,71490,16,22.380752553
2006,SC,Pickens,115570,26,22.497187852
2006,SC,Richland,357096,38,10.641396151
2006,SC,Spartanburg,268898,63,23.428958192
2006,SC,York,197892,17,8.590544337
2006,TN,Anderson,73117,19,25.985748868
2006,TN,Blount,118228,20,16.916466488
2006,TN,Bradley,94638,11,11.623238023
2006,TN,Campbell,40475,19,46.942557134
2006,TN,Carter,57877,15,25.917030945
2006,TN,Davidson,597597,95,15.897000822
2006,TN,Franklin,40877,12,29.356361768
2006,TN,Greene,67153,11,16.380504222
2006,TN,Hamblen,60629,10,16.493757113
2006,TN,Hamilton,321350,37,11.513925626
2006,TN,Hawkins,56030,17,30.34088881
2006,TN,Henry,31686,12,37.871615224
2006,TN,Knox,411785,84,20.398994621
2006,TN,Maury,75795,10,13.19348242
2006,TN,Putnam,68493,12,17.520038544
2006,TN,Rhea,30440,10,32.85151117
2006,TN,Roane,53821,16,29.728173018
2006,TN,Rutherford,233247,16,6.859680939
2006,TN,Sevier,84098,11,13.079978121
2006,TN,Shelby,920106,104,11.303045519
2006,TN,Sullivan,154227,26,16.858267359
2006,TN,Sumner,148941,14,9.399695181
2006,TN,Washington,115923,21,18.115473202
2006,TN,Williamson,161902,10,6.176575953
2006,TX,Anderson,57386,12,20.911023595
2006,TX,Aransas,23395,12,51.293011327
2006,TX,Bell,273771,14,5.113762962
2006,TX,Bexar,1573935,175,11.118629422
2006,TX,Brazoria,284248,34,11.961385832
2006,TX,Brazos,175433,10,5.700181836
2006,TX,Cameron,380169,13,3.41953184
2006,TX,Collin,683935,30,4.386381747
2006,TX,Comal,95637,16,16.729926702
2006,TX,Dallas,2275434,210,9.22900862
2006,TX,Denton,584561,25,4.276713636
2006,TX,Ector,127476,25,19.61153472
2006,TX,El Paso,744795,68,9.130029068
2006,TX,Fort Bend,490916,21,4.277717573
2006,TX,Galveston,279182,55,19.700410485
2006,TX,Grayson,117174,15,12.80147473
2006,TX,Guadalupe,111878,12,10.725969359
2006,TX,Harris,3807435,385,10.111794423
2006,TX,Hays,132111,10,7.569392405
2006,TX,Hidalgo,695352,19,2.732429043
2006,TX,Hunt,83770,11,13.131192551
2006,TX,Jefferson,245962,58,23.580878347
2006,TX,Johnson,142501,10,7.017494614
2006,TX,Liberty,74269,14,18.850395185
2006,TX,Lubbock,261761,20,7.640557608
2006,TX,McLennan,224452,19,8.465061572
2006,TX,Midland,125844,12,9.535615524
2006,TX,Montgomery,392497,77,19.617984341
2006,TX,Nueces,329113,63,19.142361438
2006,TX,Orange,81687,37,45.294844957
2006,TX,Polk,45495,13,28.574568634
2006,TX,Potter,119780,11,9.183503089
2006,TX,Smith,196124,24,12.237156085
2006,TX,Tarrant,1662005,109,6.558343687
2006,TX,Tom Green,106125,18,16.961130742
2006,TX,Travis,925151,83,8.971508435
2006,TX,Van Zandt,52194,10,19.15929034
2006,TX,Walker,65591,10,15.245994115
2006,TX,Webb,229307,11,4.797062453
2006,TX,Wichita,131376,22,16.745828766
2006,TX,Williamson,351970,24,6.818762963
2006,UT,Davis,278800,40,14.347202296
2006,UT,Iron,42000,10,23.80952381
2006,UT,Salt Lake,966798,197,20.376541946
2006,UT,Utah,448296,73,16.283883862
2006,UT,Washington,126796,15,11.830026184
2006,UT,Weber,212656,26,12.226318561
2006,VT,Chittenden,152861,16,10.467025598
2006,VT,Washington,59414,10,16.831049921
2006,VT,Windsor,57184,13,22.733631785
2006,VA,Chesterfield,298496,13,4.355167238
2006,VA,Fairfax,1018981,34,3.336666729
2006,VA,Henry,55464,13,23.438626857
2006,VA,Prince William,359174,16,4.454665427
2006,VA,Pulaski,34891,13,37.258891978
2006,VA,Tazewell,44195,20,45.253988008
2006,VA,Wise,41531,25,60.19599817
2006,VA,Chesapeake city,217271,16,7.364075279
2006,VA,Hampton city,140839,11,7.810336626
2006,VA,Newport News city,183581,19,10.349654921
2006,VA,Norfolk city,243406,22,9.038396753
2006,VA,Portsmouth city,99213,11,11.08725671
2006,VA,Richmond city,198618,28,14.097413125
2006,VA,Roanoke city,94247,11,11.671459038
2006,VA,Virginia Beach city,437739,27,6.168059049
2006,WA,Benton,159564,16,10.027324459
2006,WA,Chelan,69536,11,15.81914404
2006,WA,Clallam,69642,18,25.846471957
2006,WA,Clark,401698,45,11.202445618
2006,WA,Cowlitz,99162,29,29.245073718
2006,WA,Grant,81036,13,16.042252826
2006,WA,King,1822967,241,13.2202064
2006,WA,Kitsap,245054,22,8.977613098
2006,WA,Lewis,73318,10,13.639215472
2006,WA,Pierce,763408,83,10.872298954
2006,WA,Skagit,112621,18,15.9828096
2006,WA,Snohomish,670706,90,13.41869612
2006,WA,Spokane,447517,95,21.228243843
2006,WA,Stevens,42366,13,30.684983241
2006,WA,Thurston,232688,27,11.603520594
2006,WA,Whatcom,188926,25,13.232694282
2006,WA,Yakima,230617,19,8.238768174
2006,WV,Cabell,94943,28,29.491379038
2006,WV,Fayette,46200,10,21.645021645
2006,WV,Harrison,68141,12,17.610542845
2006,WV,Kanawha,192954,44,22.803362459
2006,WV,Logan,36440,23,63.117453348
2006,WV,McDowell,23199,10,43.105306263
2006,WV,Mercer,61297,18,29.365221789
2006,WV,Raleigh,78178,18,23.02438026
2006,WV,Wayne,42717,10,23.409883653
2006,WV,Wood,86552,12,13.864497643
2006,WV,Wyoming,24288,14,57.641633729
2006,WI,Brown,240191,10,4.163353331
2006,WI,Chippewa,60271,10,16.591727365
